#,old_path,new_path,bytes,mimetype,role,db_referenced,ref_columns,old_uid_in_consolidation
107,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/954a6ddf-3b58-451e-a8e8-c5e89b8fb58b_face_guard.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/954a6ddf-3b58-451e-a8e8-c5e89b8fb58b_face_guard.png,71956,image/png,face-guard,yes,artist_looks.composition_recipe_json,yes
108,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/954a6ddf-3b58-451e-a8e8-c5e89b8fb58b_flux_mask.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/954a6ddf-3b58-451e-a8e8-c5e89b8fb58b_flux_mask.png,32535,image/png,flux-interim,yes,artist_looks.composition_recipe_json,yes
109,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/954a6ddf-3b58-451e-a8e8-c5e89b8fb58b_flux_src.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/954a6ddf-3b58-451e-a8e8-c5e89b8fb58b_flux_src.png,1439460,image/png,flux-interim,yes,artist_looks.composition_recipe_json,yes
110,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/954a6ddf-3b58-451e-a8e8-c5e89b8fb58b_mask.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/954a6ddf-3b58-451e-a8e8-c5e89b8fb58b_mask.png,59100,image/png,composite/other,yes,artist_looks.composition_recipe_json,yes
111,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/954a6ddf-3b58-451e-a8e8-c5e89b8fb58b_pad_mask.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/954a6ddf-3b58-451e-a8e8-c5e89b8fb58b_pad_mask.png,59772,image/png,composite/other,yes,artist_looks.composition_recipe_json,yes
112,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/954a6ddf-3b58-451e-a8e8-c5e89b8fb58b_pad_src.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/954a6ddf-3b58-451e-a8e8-c5e89b8fb58b_pad_src.png,2645693,image/png,composite/other,yes,artist_looks.composition_recipe_json,yes
113,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/954a6ddf-3b58-451e-a8e8-c5e89b8fb58b_source1080.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/954a6ddf-3b58-451e-a8e8-c5e89b8fb58b_source1080.png,2643157,image/png,composite/other,yes,artist_looks.composition_recipe_json,yes
114,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/965dc36a-0aca-4821-8472-96e736de984a.jpg,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/965dc36a-0aca-4821-8472-96e736de984a.jpg,199937,image/jpeg,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
115,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/9aa9754d-d73e-4d10-8ff1-00d69364504a.jpg,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/9aa9754d-d73e-4d10-8ff1-00d69364504a.jpg,209309,image/jpeg,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
116,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/9b055f52-44e6-4255-aa73-ea65806691b4_face_guard.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/9b055f52-44e6-4255-aa73-ea65806691b4_face_guard.png,71956,image/png,face-guard,yes,artist_looks.composition_recipe_json,yes
